code,description,start_date,end_date,type,parent_code,level,category,notes
10207,Real estate loans to others,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Real estate loans to others - This account is used to record Loans given to others for real estate purchases to be paid back within a year.\n\nPurpose: This account tracks asset items specifically related to real estate loans to others. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of real estate loans to others transactions\n- Adjustments related to real estate loans to others\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10276,Tax exempt investments,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Long-term Asset - Investments"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Tax exempt investments - This account is used to record Investments in tax-exempt securities, like local and municipal bonds.\n\nPurpose: This account tracks asset items specifically related to tax exempt investments. It is classified under Long-term Asset - Investments in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of tax exempt investments transactions\n- Adjustments related to tax exempt investments\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Long-term Asset - Investments classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10345,Uncategorized Asset,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Uncategorized Asset - This account is used to record transactions related to Uncategorized Asset.\n\nPurpose: This account tracks asset items specifically related to uncategorized asset. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of uncategorized asset transactions\n- Adjustments related to uncategorized asset\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 8 legacy account(s) across 8 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10414,U.S. savings bonds and investments,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Cash and Cash Equivalents"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""U.S. savings bonds and investments - This account is used to record Investments in U.S. government bonds, treasury notes, and other securities.\n\nPurpose: This account tracks asset items specifically related to u.s. savings bonds and investments. It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of u.s. savings bonds and investments transactions\n- Adjustments related to u.s. savings bonds and investments\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10483,Amortization expenses,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Amortization expenses - This account is used to record Current period cost of amortizable assets.\n\nPurpose: This account tracks asset items specifically related to amortization expenses. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of amortization expenses transactions\n- Adjustments related to amortization expenses\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10552,Penalties & settlements,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Penalties & settlements - This account is used to record Costs of settlements and fines other than vehicle fines.\n\nPurpose: This account tracks asset items specifically related to penalties & settlements. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of penalties & settlements transactions\n- Adjustments related to penalties & settlements\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 5 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10621,Vehicle expenses,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Vehicle expenses - This account is used to record Costs for the use of vehicles.\n\nPurpose: This account tracks asset items specifically related to vehicle expenses. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of vehicle expenses transactions\n- Adjustments related to vehicle expenses\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 13 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10690,Vehicle expenses:Vehicle gas & fuel,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Vehicle expenses:Vehicle gas & fuel - This account is used to record Costs to fuel vehicles.\n\nPurpose: This account tracks asset items specifically related to vehicle expenses:vehicle gas & fuel. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of vehicle expenses:vehicle gas & fuel transactions\n- Adjustments related to vehicle expenses:vehicle gas & fuel\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10759,Vehicle insurance,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Vehicle insurance - This account is used to record Costs to insure vehicles.\n\nPurpose: This account tracks asset items specifically related to vehicle insurance. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of vehicle insurance transactions\n- Adjustments related to vehicle insurance\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10828,Vehicle registration,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Vehicle registration - This account is used to record Costs to register vehicles with a local authority.\n\nPurpose: This account tracks asset items specifically related to vehicle registration. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of vehicle registration transactions\n- Adjustments related to vehicle registration\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10897,Vehicle repairs,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Vehicle repairs - This account is used to record Costs to repair vehicles.\n\nPurpose: This account tracks asset items specifically related to vehicle repairs. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of vehicle repairs transactions\n- Adjustments related to vehicle repairs\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
10966,Vehicle expenses:Vehicle wash & road services,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Vehicle expenses:Vehicle wash & road services - This account is used to record Costs to clean vehicles or get help on the road.\n\nPurpose: This account tracks asset items specifically related to vehicle expenses:vehicle wash & road services. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of vehicle expenses:vehicle wash & road services transactions\n- Adjustments related to vehicle expenses:vehicle wash & road services\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
11035,Dividends received,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Long-term Asset - Investments"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Dividends received - This account is used to record Dividends received from investments in other companies.\n\nPurpose: This account tracks asset items specifically related to dividends received. It is classified under Long-term Asset - Investments in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of dividends received transactions\n- Adjustments related to dividends received\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Long-term Asset - Investments classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
11104,Interest earned,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Cash and Cash Equivalents"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Interest earned - This account is used to record Money earned from interest, like from a savings account.\n\nPurpose: This account tracks asset items specifically related to interest earned. It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of interest earned transactions\n- Adjustments related to interest earned\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
11173,Sale of an asset,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Sale of an asset - This account is used to record Money earned from the sale of an asset.\n\nPurpose: This account tracks asset items specifically related to sale of an asset. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of sale of an asset transactions\n- Adjustments related to sale of an asset\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 8 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
11242,Tax exempt investment interest,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Long-term Asset - Investments"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Tax exempt investment interest - This account is used to record Money earned from interest from a tax-exempt sources, like government bonds.\n\nPurpose: This account tracks asset items specifically related to tax exempt investment interest. It is classified under Long-term Asset - Investments in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of tax exempt investment interest transactions\n- Adjustments related to tax exempt investment interest\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Long-term Asset - Investments classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
11311,Alphabet CHK (0832) - 1,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Alphabet CHK (0832) - 1 - This account is used to record transactions related to Alphabet CHK (0832) - 1.\n\nPurpose: This account tracks asset items specifically related to alphabet chk (0832) - 1. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of alphabet chk (0832) - 1 transactions\n- Adjustments related to alphabet chk (0832) - 1\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
11380,Alphabet SAV (3088) - 1,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Alphabet SAV (3088) - 1 - This account is used to record transactions related to Alphabet SAV (3088) - 1.\n\nPurpose: This account tracks asset items specifically related to alphabet sav (3088) - 1. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of alphabet sav (3088) - 1 transactions\n- Adjustments related to alphabet sav (3088) - 1\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
11449,Vehicle expenses:Parking & tolls,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Vehicle expenses:Parking & tolls - This account is used to record Costs of road tolls and parking.\n\nPurpose: This account tracks asset items specifically related to vehicle expenses:parking & tolls. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of vehicle expenses:parking & tolls transactions\n- Adjustments related to vehicle expenses:parking & tolls\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 3 legacy account(s) across 3 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
11518,Vehicle expenses:Vehicle fines & penalties,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Vehicle expenses:Vehicle fines & penalties - This account is used to record Costs of vehicle fines or penalties, like traffic tickets.\n\nPurpose: This account tracks asset items specifically related to vehicle expenses:vehicle fines & penalties. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of vehicle expenses:vehicle fines & penalties transactions\n- Adjustments related to vehicle expenses:vehicle fines & penalties\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 3 legacy account(s) across 3 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
